SID,Nombre,Latitud,Longitud,Elevacion,geometry
421,Río Side en Cerro Sombrero,-52.7681,-69.2772,47.0,POINT (-69.27719999999999 -52.7681)
403,Río Perez en Desembocadura,-52.5492,-71.9747,11.0,POINT (-71.9747 -52.5492)
393,Río Rincon,-51.3139,-72.8292,34.0,POINT (-72.8292 -51.3139)
424,Onaisin en Maria Cristina,-53.3056,-69.2675,33.0,POINT (-69.2675 -53.3056)
422,Bahia San Felipe,-52.8697,-69.9319,12.0,POINT (-69.9319 -52.8697)
428,San Sebastian,-53.3217,-68.6614,17.0,POINT (-68.6614 -53.3217)
879,Chanco,-35.453809833,-72.3143,395.0,POINT (-72.3143 -35.453809833)
401,Seno Obstrucción,-52.2094,-72.4783,5.0,POINT (-72.4783 -52.2094)
400,Lago Anibal Pinto,-52.0911,-72.4361,49.0,POINT (-72.4361 -52.0911)
417,Penitente Alto,-52.2092,-71.6806,287.0,POINT (-71.6806 -52.2092)
420,Monte Aymond,-52.1644,-69.6078,170.0,POINT (-69.6078 -52.1644)
706,El Tambo,-34.470991999999995,-70.986951,253.0,POINT (-70.986951 -34.470992)
699,Hidango,-34.1,-71.8,302.0,POINT (-71.8 -34.1)
1133,Rivadavia,-29.96173,-70.53908,890.0,POINT (-70.53908 -29.96173)
149,Estero Puangue en Ruta 78,-33.6614,-71.3372,109.0,POINT (-71.3372 -33.6614)
351,Islas Huichas,-45.1553,-73.5164,0.0,POINT (-73.5164 -45.1553)
436,Puerto Navarino,-54.9256,-68.3236,8.0,POINT (-68.3236 -54.9256)
437,Puerto Toro,-55.0822,-67.0758,12.0,POINT (-67.0758 -55.0822)
846,San Pedro-Pencahue,-35.333888889,-71.769166667,70.0,POINT (-71.76916666699999 -35.333888889)
646,William Fevre,-33.671388889,-70.581666667,668.0,POINT (-70.58166666699999 -33.671388889)
691,Casa Silva-Los Lingues,-34.502222222,-70.894722222,325.0,POINT (-70.894722222 -34.502222222)
702,San Pedro-Totihue,-34.341111111,-70.727777778,416.0,POINT (-70.727777778 -34.341111111)
734,Guilisasti,-37.648333333000004,-72.216111111,183.0,POINT (-72.216111111 -37.648333333)
885,Odjfell,-36.144722222,-72.265833333,160.0,POINT (-72.265833333 -36.144722222)
873,J. Bouchon,-35.569166667,-71.995277778,176.0,POINT (-71.995277778 -35.569166667)
670,Morandé,-33.581388889,-70.716666667,550.0,POINT (-70.716666667 -33.581388889)
640,Ventisquero,-34.0225,-71.344166667,181.0,POINT (-71.344166667 -34.0225)
851,San Pedro-Molina,-35.103055556,-71.33833333300001,229.0,POINT (-71.33833333300001 -35.103055556)
